"No","회계연도","지역명","자치단체코드","자치단체명","행사축제명","사업내용","총비용","사업수익","순원가","개최시작일자","개최종료일자"
"320","2023","충남","4400000","충남본청","백제문화제","2023 대백제전
○ 주  제 : ‘대백제, 세계와 통(通)하다
○ 내  용 : 디지털 실감 미디어아트관, 수상 멀티미디어 쇼, 친환경 프로그램, 웅진판타지아, 다시 보는 사비 백제의 예(禮), 웅진성퍼레이드, 백제군 출정식 등 65개의 다채로운 프로그램","1655862650","0","1655862650","20230923","20231009"
"321","2023","충남","4400000","충남본청","내포신도시 순환버스 개통 행사","내포신도시 순환버스 개통식 행사
- 사업 경과보고, 순환버스 개통 퍼포먼스, 버스 탑승 시연 등","1631504600","0","1631504600","20230224","20230224"
"322","2023","충남","4400000","충남본청","해외투자유치설명회","  ○ 기 간 : 2023. 10. 31.~11. 1            
  ○ 위 치 : 독일 프랑크푸르트
  ○ 규 모 : 국내외 기업 100여개사 
  ○ 내 용 : 해외투자유치설명회 및 수출상담회","847702312","0","847702312","20231031","20231101"
"323","2023","충남","4411000","충남천안시","천안흥타령춤축제","춤경연, 국제춤대회, 춤영화제 영화상영, 체험 및 부대행사 등","2906180089","0","2906180089","20231005","20231009"
"324","2023","충남","4411000","충남천안시","천안시민체육대회","천안시민체육대회 개최","988810928","0","988810928","20231027","20231028"
"325","2023","충남","4411000","충남천안시","K리그 유스 챔피언십 축구대회","유소년 축구대회 개최를 통하여 축구 저변 확대 및 꿈나무 육성에 따른 축구발전 기여","370000000","0","370000000","20230715","20230821"
"326","2023","충남","4411000","충남천안시","전국노인체육대회","전국노인체육대회 개최","794718160","0","794718160","20230910","20230910"
"327","2023","충남","4411000","충남천안시","도시재창조 한마당","․ 도시재생 정책․사업․성과를 홍보하기 위한 전시부스 운영
 (정책관, 개최지관, 지원기구관, 지자체관 등)
․ 중앙프로그램(정책토론회, 성과보고회, 국제컨퍼런스)
․ 분야별 경진대회(공모전, 경진대회 등)
․ 참여기관별 프로그램(세미나, 해커튼 등)
․ 개최지 특화 프로그램(토크콘서트, 경진대회, 드링크페어 등)","806000000","0","806000000","20230913","20230915"
"328","2023","충남","4411000","충남천안시","천안 K-컬처박람회","K-컬처 주요 분야 및 K-SOUL을 담은 공연·전시 연출 프로그램 운영","2963834000","0","2963834000","20230811","20230815"
"329","2023","충남","4412000","충남공주시","고마나루전국향토연극제","- 전국 공모와 경연을 통한 연극 작품 개발 및 발굴
- '전국의 연극축제 현황과 발전방안' 학술심포지엄 개최","400000000","200000000","200000000","20230925","20231003"
"330","2023","충남","4412000","충남공주시","백제문화제","- 5대왕추모제, 영산대제, 혼불채화, 무령왕헌공다례
 - 웅진판타지아 (무관중, 온라인 공연) 및 기타 온라인 프로그램
- 2023 대백제전 운영 ","5662479500","0","5662479500","20230923","20231009"
"331","2023","충남","4412000","충남공주시","석장리 구석기 축제","구석기를 주제로 한 각종 교육 및 체험프로그램 운영","1022123400","0","1022123400","20230505","20230507"
"332","2023","충남","4412000","충남공주시","공주 문화재 야행","   ① 다양한 근대문화유산이 산재해있는 공주의 원도심을 골목길 해설사의 설명과 함께하는 골목길투어 프로그램
   ② 탄탄한 해설로 흥미유발과 문화재에 대한 이해를 이끌어주는 프로그램 구성 
   ③ 공주를 찾아온 방문객에게 원도심의 다양한 근대문화재를 알리는 기회 제공
   ④ 지역주민들에게 원도심의 추억을 되새겨보고 공주에 대한 애정과 관심을 갖게 함","384756800","0","384756800","20230908","20230910"
"333","2023","충남","4412000","충남공주시","세계유산 활용콘텐츠 구축(미디어아트)","공산성 미디어파사트, 프로젝션 맵핑, LED등 미디어아트 구축 및 운영","1732675220","0","1732675220","20230909","20231009"
"334","2023","충남","4412000","충남공주시","세계유산 활용사업","-공산성 달밤이야기&콘서트 : 성곽문화체험, 작은음악회, 명사초청이야기(4월~12월)
-조선통신사 공주에 납시었네 : 찾아가는 조선통신사 학교 운영, 유적답사, 아카데미, 인문한마당 등 운영(3~12월)
-백제의 숨결 유산으로 만나다 : 백제인연 공산성에서 밝히다, 백제역사 유산으로 비추다 프로그램 운영(3월~12월)
-마곡사의 빛과 춤 : 세계유산 마곡사에서 디지털 기술과 무용을 융합한 공연(6월~12월)
-산사 마곡을 느끼다 : 마곡사 보물찾기, 시인과 스님의 토크콘서트 후 시집만들기, 마곡사에서 걸으며 마멍 등 프로그램 진행(3월~12월)","484864840","0","484864840","20230301","20231231"
